text,label
"No thanks, I don't want to save money",confirmshaming
"I'd rather pay full price",confirmshaming
"No thanks, I prefer to stay uninformed",confirmshaming
"Skip the deal, I like spending more",confirmshaming
"No thanks, I don't care about my health",confirmshaming
"No thanks, I enjoy wasting time",confirmshaming
"I'd rather not save 30% today",confirmshaming
"No thanks, I don't want free shipping",confirmshaming
"Skip — I don't mind missing out",confirmshaming
"No thanks, I like paying more for less",confirmshaming
"I'll pass, deals aren't for me",confirmshaming
"No thanks, I prefer the expensive option",confirmshaming
"I don't want exclusive member pricing",confirmshaming
"No thanks, I'm happy losing money",confirmshaming
"I'd rather not get cashback",confirmshaming
"No thanks, I don't want a discount",confirmshaming
"Skip offer — I prefer full price",confirmshaming
"I don't want to save on my order",confirmshaming
"No thanks, I'll pay more elsewhere",confirmshaming
"I'd rather not join and save",confirmshaming
"No thanks, I don't need a better deal",confirmshaming
"I'm fine overpaying, no thanks",confirmshaming
"No thanks, I enjoy high prices",confirmshaming
"I don't want this limited offer",confirmshaming
"No thanks, savings aren't important to me",confirmshaming
"I'd rather miss the sale",confirmshaming
"No, I don't want to be a smart shopper",confirmshaming
"No thanks, I don't want rewards points",confirmshaming
"I'll decline, I hate discounts",confirmshaming
"No, keep charging me full price",confirmshaming
"Taxes and fees calculated at checkout",hidden_costs
"Additional service fee applied at payment",hidden_costs
"Resort fee not included in displayed price",hidden_costs
"Booking fee added at final step",hidden_costs
"Convenience charge applied at checkout",hidden_costs
"Shipping cost revealed after entering card details",hidden_costs
"Handling fee added at final payment screen",hidden_costs
"Price shown excludes mandatory insurance",hidden_costs
"Processing fee applied at checkout",hidden_costs
"Additional charges will appear at payment",hidden_costs
"Fuel surcharge added at booking confirmation",hidden_costs
"Platform fee not included in listed price",hidden_costs
"GST and packaging charges added at checkout",hidden_costs
"Delivery charges calculated after address entry",hidden_costs
"Final price may differ due to applicable taxes",hidden_costs
"Service charge added to your total at payment",hidden_costs
"Regulatory fee applied automatically at checkout",hidden_costs
"Installation charges added separately at billing",hidden_costs
"Mandatory tip included at payment screen",hidden_costs
"Currency conversion fee applied at checkout",hidden_costs
"Admin fee revealed only at final payment step",hidden_costs
"Subtotal does not include applicable fees",hidden_costs
"Extra charges apply based on your location",hidden_costs
"Order processing fee added before confirmation",hidden_costs
"Packaging fee not shown in product price",hidden_costs
"Customs duty applied at checkout for your region",hidden_costs
"Final amount includes undisclosed platform charges",hidden_costs
"Price excludes mandatory extended warranty fee",hidden_costs
"COD charge applied at payment selection",hidden_costs
"Restocking fee deducted from refund amount",hidden_costs
"Your free trial will automatically convert to a paid subscription",forced_continuity
"Cancel anytime but we will keep charging until you do",forced_continuity
"Membership renews automatically every month",forced_continuity
"Free for 7 days then Rs 499 per month unless cancelled",forced_continuity
"Subscription continues after trial period ends",forced_continuity
"You will be charged automatically after your free period",forced_continuity
"Recurring billing begins immediately after trial",forced_continuity
"Plan auto-renews unless cancelled 24 hours before renewal",forced_continuity
"Free trial requires credit card and auto-renews",forced_continuity
"Monthly charges begin after your introductory period",forced_continuity
"Unsubscribe anytime — charges continue until you do",forced_continuity
"Annual subscription auto-renews at full price",forced_continuity
"Your card will be charged automatically each month",forced_continuity
